newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
12626,63,272421783,257834574,51.96181892,54.99454641
12627,72,276284141,268255764,60.42605072,62.98902886
12628,56,232425675,234388360,57.00212562,53.78539701
12629,52,308102009,302644829,55.10497859,50.96298337
12630,66,326002456,322126200,49.57178652,55.1836563
12631,55,175712260,166075621,60.20281692,55.02386291
12632,40,199451306,188373651,47.06968636,41.45156359
12633,35,264503115,253539761,42.39632077,37.26059439
12634,51,241741340,227209606,54.9297821,50.67753245
12635,56,340114053,318946390,46.48471951,49.14469036
12636,54,325317057,299158955,60.25072221,54.49103626
12637,43,193994113,170761283,58.29939357,48.52469919
12638,36,137203335,125815077,51.46576193,42.05972017
12639,42,183004348,171163978,51.29555053,44.36691766
12640,44,227026915,208769185,43.0119131,41.55242789
12641,61,329711160,306642212,48.78804558,52.48031961
12642,73,437462493,405520260,54.97412003,60.98557103
12643,62,408963044,393774146,50.89840872,54.11516307
12644,48,236127161,250743629,26.61120547,35.6105823
12645,27,87763612,106855994,8.029785131,16.61163316
12646,39,155425209,149934602,28.66192948,32.25168536
12647,63,334837618,303226638,59.98161026,58.6648613
12648,59,348350331,311116120,57.14219698,55.49634536
12649,54,300667076,277912876,45.82705644,47.5075668
12650,60,385577305,366891514,42.68739283,49.14685713
12651,56,324314936,314622445,51.86540961,51.5871839
12652,74,401786774,391287842,66.68884674,67.01230439
12653,61,289445004,292909907,62.40245543,58.84526146
12654,60,262218398,249452769,66.58258578,60.5469093
12655,50,273785031,251133272,58.23293554,51.76333117
12656,62,351773045,325517828,51.33746271,53.96214544
12657,78,412165563,409157903,54.51152841,63.37401996
12658,55,298434903,301388410,47.7583908,49.24161661
12659,56,238408280,226421406,60.34902288,55.66622829
12660,51,164500529,149384582,64.64639312,55.43393076
12661,34,106523385,91815993,49.23547212,39.85594243
12662,45,213808371,183707661,41.42599292,41.33126204
12663,52,224142541,186944088,52.49283541,49.97079861
12664,49,195136852,166341457,47.40535398,45.85333751
12665,42,253435850,234854530,37.93741496,38.11906464
12666,49,310174760,293288595,37.7952581,41.60545454
12667,44,236779648,219412947,46.04863547,43.22990242
12668,45,238356728,219214461,49.375302,45.34039678
12669,63,400582468,367361391,46.55368741,52.33654195
12670,41,280107750,252637323,30.29562484,34.32021296
12671,37,160240616,139421184,60.300058,46.70901987
12672,52,260178118,233617657,68.71111233,57.47173342
12673,37,213660395,189294076,48.83893819,40.90109503
12674,51,251375969,226816387,64.26526798,55.22942338
12675,51,206730545,181893767,52.02929464,49.03139923
12676,30,75373573,69207487,53.46106814,39.87994552
12677,20,50900175,53422609,51.50208892,34.18933477
12678,17,63575731,71942463,53.94543201,33.85901168
12679,26,107604299,116764968,65.16416735,43.60335809
12680,54,243882429,233313798,71.89787305,59.91913393
12681,30,171480829,160791951,37.71870266,32.29785008
12682,38,187048070,172876471,36.17575448,35.58713945
12683,51,198871448,189389029,46.06060699,46.30477655
12684,49,247312921,245183767,52.51020915,48.60193615
12685,52,293588308,281703084,68.67174707,57.74001967
12686,65,206417813,202633949,67.25571338,63.0388404
12687,46,115054164,108455543,47.48224515,44.66155296
12688,30,173647602,155104909,26.78260563,27.43674361
12689,44,283369293,260142227,31.56091207,36.11471253
12690,63,285877395,262631900,64.04755868,60.5643773
12691,48,208973330,188439771,65.17161408,54.24508629
12692,40,174964373,155688404,69.30113564,52.15929423
12693,44,269465226,238338452,61.55699687,50.54920208
12694,53,351474092,316249550,44.02992464,46.17774339
12695,71,375205843,350285904,49.74343811,57.60629175
12696,81,438898459,406857966,61.78866945,68.14582103
12697,65,372841029,337021311,67.46903151,63.36354059
12698,33,207602313,196707978,50.05688455,39.98770017
12699,46,202465528,190623376,53.3402456,47.63411424
12700,64,238790417,214119558,71.59192936,64.76780821
12701,73,346046498,298221322,78.64820402,72.34926783
12702,58,369066150,337110544,64.25734329,58.32135422
12703,51,264351179,235652445,59.22071422,52.7890073
12704,35,182212336,160449019,34.56286387,33.50682792
12705,34,226479956,215556009,17.20396471,24.48911685
12706,44,292469243,270119354,28.07465517,34.64518601
12707,49,295128974,275266663,62.06263848,53.29851006
12708,25,124717259,117270975,61.35808083,41.18403505
12709,18,69712785,65422934,53.69250922,34.3603194
12710,43,126375402,116891801,48.47527107,43.76476253
12711,52,152784454,139789857,53.5646906,50.50437128
12712,50,247398168,230780542,56.25118304,50.63387961
12713,56,275756785,263484038,62.96481294,56.70345065
12714,54,203318103,200994449,63.27903961,55.93793528
12715,57,282353661,270436262,47.74229035,50.02447463
12716,75,276132000,260276690,65.09482215,66.90369178
12717,84,184301711,175230684,79.41588629,77.60001792
12718,59,185119360,165477188,91.49932747,71.69777726
12719,25,155646375,143926819,54.78174254,38.36009819
12720,21,175406933,169782298,33.69744535,26.17161461
12721,37,216387314,212078585,35.21966892,34.57247831
12722,39,116905262,119690111,50.98214643,42.80738688
12723,41,170938397,159921024,55.85107775,46.42797901
12724,50,225452663,210117342,54.50883701,49.9315387
12725,55,356837508,330190977,51.81083191,51.04841551
12726,57,324003427,288089633,62.37745125,57.13815675
12727,60,305363120,275429057,69.59949394,61.88772829
12728,48,154714227,141171594,75.13348473,58.8115976
12729,34,136054189,131973651,60.27831807,45.04452032
12730,47,188396055,183333078,55.63711714,48.95200752
12731,71,309282207,289667214,76.33410739,70.1750728
12732,70,314963567,292213939,73.62491385,68.48665618
12733,61,289633777,277767961,45.29184725,50.53366132
12734,62,315680673,300521315,47.63319902,52.52823046
12735,52,316050677,301338572,41.99959535,44.9268551
12736,34,204419027,192146544,41.84147973,36.44501966
12737,47,234878299,206502892,34.94457988,39.10959294
12738,53,291184860,261281571,51.56725473,49.77706244
12739,41,245540854,229041557,55.04903158,45.99970552
12740,44,308315900,288703655,59.03525313,49.51864905
12741,40,223902693,210042988,46.45219798,41.38277758
12742,54,247942541,233610719,41.04318948,45.5080231
12743,42,160631177,153374666,50.81511839,44.31714951
12744,58,242322886,226591838,58.63316791,55.74402165
12745,45,133528488,118312540,44.18872809,42.66814313
12746,62,81387830,71014708,65.10741586,60.75867171
12747,71,169702254,154689141,52.31863273,58.69477983
12748,69,328748267,302201784,51.01539447,57.42555783
12749,71,411796146,386038755,36.63033923,51.58076926
12750,68,377424826,349900739,42.65076567,52.73856449
12751,56,388174622,364689088,36.18229951,44.16689093
12752,51,262411389,244111207,42.36707359,44.75992204
